品牌,型号,颜色,系统,价格,月成交纪录,累计评价,手机类型,电池类型,核心数,电池容量,机身款式,键盘类型,厚度,后置摄像头,摄像头类型,视频显示格式,机身内存,运行内存,尺寸,触屏类型,分辨率,收藏人气,字段25
 Changhong/长虹, Ga618, 黑色 红色, 无操作系统,348.00,23,, 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 无, 无, 无, 2.0英寸, 非触摸屏, 320x240,（96人气）,
 纽曼, L66, 黑色 红色, 无操作系统,179.00,260,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 130万, 单摄像头, 480P(逐行标清D2), 无, 无, 2.0英寸, 非触摸屏, 480X320,（407人气）,
 ZTE/中兴, U160, 黑色, 无操作系统,299.00,19,, 拍照手机 音乐手机 儿童手机 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 9mm(含)-10mm(含), 无摄像头, 无摄像头, 无视频, 无, 无, 1.8英寸, 非触摸屏, 320x240像素,（300人气）,
 Fadar/锋达通, FDT&nbsp;C29, 红色 金色 黑色, 无操作系统,399.00,363,, 老人手机, 可拆卸式电池, 无, 1400mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 无, 32MB, 4MB, 1.77英寸, 非触摸屏, 160X128,（952人气）,
 Daxian/大显, JL333, 经典黑 靓丽红 土豪金, 无操作系统,199.00,925,, 老人手机, 可拆卸式电池, 无,, 12键标准键盘, 1CM以上,, 单摄像头,,, 无, 32MB, 2.2英寸, 非触摸屏, 320x240,（1016人气）,
 纽曼, M28, 白色 黑色, MTK,318.00,297,, 老人手机, 可拆卸式电池, 无, 2080mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 无, 32MB, 2.0英寸, 非触摸屏, 176X220,（1391人气）,
 Changhong/长虹, 红色 粉色 金色 白色 黑色, 无操作系统, 时尚手机 女性手机 老人手机,159.00,19,, 可拆卸式电池, 无, 1400mAh,, 12键标准键盘, 1CM以上,, 单摄像头, 360P以下,, 32MB, 32MB, 2.4英寸, 非触摸屏, 240x320,（16人气）,
 Lenovo/联想, a388t, 清新白 深邃黑, Android/安卓,586.00,30,, 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（21人气）,
 TOOKY/京崎, 红色 黑色, 无操作系统, 拍照手机 老人手机,499.99,23,, 可拆卸式电池, 无, 1800mAh,, 虚拟触屏键盘, 1CM以上,, 单摄像头, 480P(逐行标清D2),, 16MB, 8MB, 3.5英寸, 电容式, 480X320,（239人气）,
 Haier/海尔, HG-A110, 朱砂红 钢琴白 典雅黑 宝石蓝, 无操作系统,299.00,19,, 老人手机, 可拆卸式电池, 无, 1700mAh, 直板, 12键标准键盘, 1CM以上, 10万, 单摄像头, 360P(逐行标清), 无, 无, 1.8英寸, 非触摸屏, 128x160,（6人气）,
 BIRD/波导, D719, 红色 白色 黑色, 无操作系统,800.00,38,, 老人手机, 可拆卸式电池, 无, 1400mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 480I(隔行标清D1), 无, 无, 2.4英寸, 非触摸屏, 480X320,（2956人气）,
 UniscopE/优思, U&nbsp;W2015G, 金色 咖啡色, 无操作系统,1598.00,25,, 翻盖手机 商务手机, 可拆卸式电池, 无, 2000mAh, 翻盖, 12键标准键盘, 16.5mm, 30万, 单摄像头, MP4, 无, 128MB, 3.5英寸, 非触摸屏, 480X320,（825人气）,
 Lenovo/联想, TD100, 黑色, 无操作系统,249.00,21,, 3G手机, 可拆卸式电池, 无, 1000mAh, 滑盖, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 360P(逐行标清), 无, 无, 2.0英寸, 非触摸屏, 220X176,（1214人气）,
 UniscopE/优思, US58&nbsp;A, 咖啡色 金色 黑色, 无操作系统,399.00,85,, 拍照手机 音乐手机 老人手机, 可拆卸式电池, 无, 3800mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 不支持视频, 无, 32MB, 2.4英寸, 非触摸屏, 320x240,（3365人气）,
 几米, J388, 红色 黑色 白色, 无操作系统,128.00,626,, 老人手机, 可拆卸式电池, 主频312M, 1000mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 无, 32MB, 无, 1.8英寸, 非触摸屏, 128x160,（356人气）,
 Coolpad/酷派, 灵动白, Android/安卓, 4G手机 女性手机 老人手机,399.00,51,, 可拆卸式电池, 四核心, 1GHz, 2000mAh, 直板, 12键标准键盘, 1CM以上, 500万, 双摄像头（后双）, 480I(隔行标清D1), 4GB, 512MB, 5.0英寸, 电容式, 480x854,,
 Haier/海尔, HM-M209, 钢琴白 典雅黑 红色, 无操作系统,398.00,10,, 音乐手机 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 480I(隔行标清D1), 无, 无, 2.0英寸, 非触摸屏, 320x240,（323人气）,
 YEPEN/誉品, 红色 白色 黑色 蓝色, 无操作系统, 儿童手机 商务手机 女性手机 老人手机,400.00,71,, 可拆卸式电池, 无, 1050mAh,, 12键标准键盘, 9mm(含)-10mm(含),, 单摄像头, 360P(逐行标清),, 无, 无, 2.4英寸, 非触摸屏, 240x430,（62人气）,
 Daxian/大显, C189, 黑色 白色 红色, 无操作系统,358.00,25,, 老人手机, 可拆卸式电池, 单核心, 无,, 直板, 12键标准键盘,, 30万, 单摄像头, 32MB, 128MB, 1.8英寸, 非触摸屏, 176X220,（239人气）,
 K-Touch/天语, E8, 莹白 酷雅黑, Android/安卓,419.00,51,, 智能手机 商务手机 老人手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（1071人气）,
 易百年, EZ621, 银灰 红黑 香槟金, 无操作系统,499.00,62,, 老人手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 12键标准键盘,, 30万, 单摄像头, 64MB, 64MB, 1.8英寸, 非触摸屏, 128x160,（435人气）,
 Samsung/三星, SM-G3819D, 釉白 金属黑, Android/安卓,518.00,11,, 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 4.52英寸, 电容式, 960x540,（93人气）,
 BIRD/波导, S718, 红色 咖啡色 金色 黑色 蓝色, 无操作系统,358.00,38,, 老人手机, 可拆卸式电池, 无, 800mAh, 直板, 12键标准键盘, 1CM以上, 50万, 单摄像头, 360P(逐行标清), 无, 32MB, 2.4英寸, 非触摸屏, 480X320,（104人气）,
 F－FOOK/福中福, F999, 红色 黑色 白色, 无操作系统,359.00,231,, 商务手机 女性手机 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 130万, 单摄像头, 480P(逐行标清D2), 8MB, 8MB, 1.8英寸, 非触摸屏, 640x480,（2164人气）,
 索爱, SA-i310, 尊贵黑 尊贵金 中国红, 无操作系统,399.00,18,, 老人手机, 可拆卸式电池, 无, 1500mAh, 直板, QWERTY全键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 无, 无, 2.2英寸, 非触摸屏, 220X176,（46人气）,
 K-Touch/天语, T780+, 黑色 黄色, Android/安卓,399.00,42,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 512MB, 256MB, 4.0英寸, 电容式, 800x480,（93人气）,
 东信, EG520, 红色 金色 白色 黑色, 无操作系统,799.00,88,, 拍照手机 时尚手机 商务手机 女性手机 老人手机, 可拆卸式电池, 单核心, 无,, 翻盖, 12键标准键盘,, 30万, 单摄像头, 128MB, 64MB, 2.4英寸, 电阻式触摸屏, 400x240,（1085人气）,
 UniscopE/优思, US58v, 黑色 金色, 无操作系统,384.00,119,, 超长待机, 可拆卸式电池, 无, 3200mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 不支持, 无, 无, 2.4英寸, 非触摸屏, 320x240,（2377人气）,
 Daxian/大显, DX900, 红色 黑色, 无操作系统,399.00,29,, 商务手机 老人手机, 可拆卸式电池, 无,, 12键标准键盘, 1CM以上,, 单摄像头," 3GP,JPG,GIF,MPGE-4,",, 64MB, 32MB, 2.6英寸, 电阻式触摸屏, 320x240,（69人气）,
 Daxian/大显, DX599, 红色 白色 黑色, 无操作系统,268.00,222,, 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 不支持, 无, 64MB, 2.3英寸, 电阻式触摸屏, 320x240,（102人气）,
 Daxian/大显, DX600, 黑色 红色, 无操作系统,399.00,13,, 老人手机, 可拆卸式电池, 无, 1000mAh, 翻盖, 12键标准键盘, 1CM以上, 30万, 单摄像头, 无视频显示格式, 128MB, 64MB, 2.44英寸, 非触摸屏, 240x320,（66人气）,
 Daxian/大显, D189, 黑色 豪华版黑色 豪华版红色 红色, 无操作系统,168.00,5438,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 10万, 单摄像头, 720P(逐行高清D4), 无, 无, 1.8英寸, 非触摸屏, 128x160,（18103人气）,
 BIRD/波导, Bird-K559, 太空灰, 无操作系统,1500.00,99,, 老人手机, 可拆卸式电池, 无, 4000mAh, 直板, 12键标准键盘, 1CM以上, 130万, 单摄像头, 480P(逐行标清D2), 无, 无, 2.8英寸, 电阻式触摸屏, 320x240,（1701人气）,
 Coolpad/酷派, 8029, 灵动白, Android/安卓,499.00,16,, 4G手机, 可拆卸式电池, 四核, 1500mAh, 直板, 虚拟触屏键盘, 1CM以上, 200万, 单摄像头, 480P(逐行标清D2), 4GB, 512MB, 4.0英寸, 电容式, 480x800,（29人气）,
 纽曼, F29, 红色, 无操作系统,199.00,45,, 老人手机, 可拆卸式电池, 单核心, 104MHz,, 翻盖, 12键标准键盘,, 30万, 单摄像头, 128MB, 32MB, 2.4英寸, 非触摸屏, 320x240,,
 Changhong/长虹, Z8t, 钢琴黑+檀金色, Android/安卓,699.00,13,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 4.5英寸, 电容式, 854x480,（4人气）,
 Fadar/锋达通, C002, 蓝色 白色 绿色 黑色 粉红色, 无操作系统,199.00,177,, 时尚手机 儿童手机, 可拆卸式电池, 无, 600mAh, 直板, 12键标准键盘, 1CM以上, 8万, 单摄像头, 无, 128MB, 32MB, 1.44英寸, 非触摸屏, 128x128,（8043人气）,
 Nokia/诺基亚, 107, 黑色 红色 白色, 无操作系统,299.00,50,, 老人手机, 可拆卸式电池, 无, 1020mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 不支持视频播放, 无, 4MB, 1.8英寸, 非触摸屏, 160X128,（80人气）,
 BROR, E506, 白色 红色 黑色, Nucleus,499.00,210,, 3G手机 儿童手机 老人手机, 可拆卸式电池, 无, 3800mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 360P(逐行标清), 64MB, 32MB, 2.4英寸, 非触摸屏, 320x240,（312人气）,
 Lenovo/联想, A560, 象牙白, Android/安卓,259.00,37,, 时尚手机 智能手机 3G手机 商务手机 女性手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（304人气）,
 几米, M11, 红色 金色 黑色 蓝色, 无,179.00,511,, 拍照手机 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 21键标准按键, 1CM以上, 8万, 单摄像头, 有, 64MB, 32MB, 2.4英寸, 非触摸屏, 240x320,（645人气）,
 TOOKY/京崎, 大器, 藏蓝色, 无操作系统,499.99,218,, 老人手机, 可拆卸式电池, 无, 2000mAh, 翻盖, 12键标准键盘, 1CM以上, 130万, 单摄像头, 3gp, 64MB, 64MB, 3.3英寸, 电容式, 480X320,（232人气）,
 Lingwin/聆韵, M6, 玫瑰金 土豪金, 阿里巴巴YunOS,999.00,96,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机, 可拆卸式电池, 四核, 1800mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 1GB, 4.5英寸, 电容式, 960x540,（287人气）,
 BIRD/波导, 臻心D, 白色 黑色 红色, 老人手机,180.00,136,, 老人手机, 可拆卸式电池, 无, 1400mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 无, 无, 2.4英寸, 非触摸屏, 320x240,（2902人气）,
 Fadar/锋达通, FDT&nbsp;C19, 迷彩色 橙色 咖啡色 黑色 军绿色, 无操作系统,179.00,67,, 三防手机 老人手机, 可拆卸式电池, 无, 3500mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 不支持, 32MB, 16MB, 2.4英寸, 非触摸屏, 320x240,（1809人气）,
 ZTE/中兴, Q302C, 白色, Android/安卓,388.00,37,, 4G手机, 可拆卸式电池, 四核, 2000mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 500万, 双摄像头（前后）, 720P(逐行高清D4), 4GB, 512MB, 5.0英寸, 电容式, 854x480,（423人气）,
 TCL, 雪山白, Android/安卓, 智能手机 4G手机,278.00,16,, 不可拆卸式电池, 四核, 1800mAh,, 虚拟触屏键盘, 9mm(含)-10mm(含),, 单摄像头, 720P(逐行高清D4),, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（30人气）,
 Desay/德赛, T258, 红色 咖啡金, 无操作系统,249.00,38,, 拍照手机 音乐手机 时尚手机 3G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 单核心, 128MHz,, 翻盖, 12键标准键盘,, 30万, 单摄像头, 无, 32MB, 2.4英寸, 非触摸屏, 320x240,（525人气）,
 F－FOOK/福中福, F699, 红色 黑色, 无操作系统,389.00,654,, 拍照手机 三防手机 音乐手机 时尚手机 儿童手机 商务手机 女性手机 老人手机, 可拆卸式电池, 无, 1800mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 无, 384KB, 2.5英寸, 非触摸屏, 128x160,（233人气）,
 Daxian/大显, 启辰181, 黑色 红色, 无操作系统,138.00,870,, 老人手机, 可拆卸式电池, 无, 1500mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 32MB, 32MB, 2.0英寸, 非触摸屏, 220X176,（6132人气）,
 Daxian/大显, DX220, 红色 金色 白色 黑色, 无操作系统,299.00,53,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 8万, 单摄像头, 360P(逐行标清), 32MB, 32MB, 2.2英寸, 非触摸屏, 220X176,（12380人气）,
 BROR, W65, 白色 黑色 红色, Android/安卓,599.00,37,, 音乐手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 5.0英寸, 电容式, 480x854,（208人气）,
 YEPEN/誉品, 白色, Android/安卓, 3G手机,999.00,29,, 不可拆卸式电池, 八核, 2.0G, 2100mAh, 直板, 虚拟触屏键盘, 8.9mm, 1300万, 双摄像头（前后）, 360P(逐行标清), 16GB, 1GB, 5.0英寸, 电容式, 1280x720,（67人气）,
 贝尔丰, 金色 黑色, 无操作系统, 音乐手机 商务手机 老人手机,599.00,93,, 可拆卸式电池, 无, 4000mAh,, 12键标准键盘, 1CM以上,, 单摄像头, 360P(逐行标清),, 32MB, 64MB, 2.8英寸, 电阻式触摸屏, 320x240,（640人气）,
 Meizu/魅族, MX5移动版, 银黑 金色 银白 灰色, FLyme,2000.00,2918,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 真8核-2.2GHz, 3150mAh, 直板, 虚拟触屏键盘, 7.6mm, 2070万, 双摄像头（前后）, 1080P(全高清D5), 16GB 32GB, 3GB, 5.5英寸, 电容式, 1920x1080,（16045人气）,
 HTC, M9PT, 金银汇 乌金灰, Android/安卓,2800.00,105,, 时尚手机 智能手机, 不可拆卸式电池, 八核--2.2GHz, 2840mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 2000万, 双摄像头(前后), 1080P(全高清D5), 32GB, 3GB, 5.2英寸, 电容式, 2560×1440像素,（360人气）,
 Samsung/三星, GALAXY&nbsp;S5&nbsp;SM-&nbsp;G9006V, 酷碳黑 闪耀白 电光蓝, Android/安卓,2009.00,136,, 三防手机 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 16GB, 2GB, 5.1英寸, 电容式, 1920x1080,（626人气）,
 Coolpad/酷派, 8198T, 灵锐白, Android/安卓,799.00,120,, 智能手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 960x540,（215人气）,
 Coolpad/酷派, 大神Note3移动版, 魔力白, Android/安卓,1020.00,554,, 拍照手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 八核--1.3GHz, 3000mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 1300万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（8600人气）,
 Samsung/三星, SM-G3502I, 魔力黑 星耀白, Android/安卓,2058.00,36,, 时尚手机 智能手机 3G手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 4GB, 512MB, 4.3英寸, 电容式, 800x480,（324人气）,
 Coolpad/酷派, 9150W, 纯净白, Android/安卓,528.00,61,, 时尚手机 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 4.5英寸, 电容式, 960x540,,
 Coolpad/酷派, 8713, 极地白, Android/安卓,620.00,99,, 拍照手机 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 触控按键,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（183人气）,
 Konka/康佳, D818, 珠光黑, 无操作系统,599.00,11,, 商务手机 老人手机, 可拆卸式电池, 单核260MHZ, 3000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 240p, 32MB, 32MB, 2.8英寸, 电阻式触摸屏, 320x240,（17人气）,
 Coolpad/酷派, 5313S, 极地白, Android/安卓,449.00,9,, 智能手机 4G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 300万像素, 单摄像头, 4GB, 512MB, 4.5英寸, 电容式, 854×480像素,（78人气）,
 大神, NOTE3, 香槟金, Android/安卓,1099.00,13,, 拍照手机 时尚手机 智能手机 4G手机 商务手机, 不可拆卸式电池, 八核, 1.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 720x1280像素,（61人气）,
 Lenovo/联想, a390, 星夜黑, Android/安卓,169.00,27,, 音乐手机 时尚手机 智能手机 3G手机, 可拆卸式电池, 双核心, 1GHz,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 4.0英寸, 电容式, 800x480,（21人气）,
 ZTE/中兴, U9815, 蓝色, Android/安卓,800.00,31,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 2GB, 5.7英寸, 电容式, 1280x720,（337人气）,
 ZTE/中兴, u889, 黑色, Android/安卓,499.00,23,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 商务手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 单摄像头, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（137人气）,
 Samsung/三星, SCH-I619, 时尚白 黑色, Android/安卓,359.00,69,, 智能手机 女性手机, 可拆卸式电池, 单核心, 800MHz,, 直板, 虚拟触屏键盘,, 300万, 无摄像头, 4GB, 512MB, 3.5英寸, 电容式, 480X320,（416人气）,
 Coolpad/酷派, 7230, 玩酷黑, Android/安卓,300.00,21,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 商务手机, 可拆卸式电池, 单核心, 1GHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 512MB, 512MB, 4.0英寸, 电容式, 800x480,（125人气）,
 TCL, P520L, 深海蓝 雪山白, Android/安卓,469.00,17,, 3G手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（170人气）,
 Huawei/华为, 荣耀畅玩4X&nbsp;电信高配版, 白色, Android/安卓,1260.00,31,, 商务手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, QWERTY全键盘,, 1300万, 双摄像头（前后）, 8GB, 2GB, 5.5英寸, 电容式, 1280x720,（164人气）,
 Haier/海尔, HG-M367, 香槟金 富贵红 典雅黑 星空银, 无操作系统,798.00,47,, 拍照手机 音乐手机 老人手机, 可拆卸式电池, 无, 2200mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 64MB, 无, 2.6英寸, 电阻式触摸屏, 240x320,（555人气）,
 Haier/海尔, 闪亮银 樽金 炫酷黑, 无操作系统, 商务手机 老人手机,396.00,329,, 可拆卸式电池, 单核260MHZ, 1600mAh,, 12键标准键盘, 1CM以上,, 单摄像头, 480I(隔行标清D1),, 32MB, 32MB, 2.4英寸, 非触摸屏, 320x240,（1768人气）,
 Haier/海尔, HG-M515, 悠然白 星空黑 炫彩金, 无操作系统,476.00,118,, 音乐手机 时尚手机 商务手机 女性手机 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 480I(隔行标清D1), 无, 无, 2.4英寸, 非触摸屏, 320x240,（3959人气）,
 F－FOOK/福中福, F888移动版, 红色 金色 黑色, 无操作系统,543.00,348,, 拍照手机 三防手机 音乐手机 时尚手机 商务手机 女性手机 老人手机, 可拆卸式电池, 无, 1200mAh, 翻盖, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 无, 384KB, 2.5英寸, 非触摸屏, 220X178,（1284人气）,
 Daxian/大显, 迷彩 橙色 黑色 绿色, 无操作系统, 拍照手机 三防手机 老人手机,178.00,116,, 可拆卸式电池, 无, 2200mAh,, 12键标准键盘, 1CM以上,, 单摄像头, 480P(逐行标清D2),, 32MB, 32MB, 2.4英寸, 非触摸屏, 240x320,（49人气）,
 EPHONE/易丰, 红色 金色 白色 黑色 蓝色, 无操作系统, 音乐手机 时尚手机 商务手机 女性手机 老人手机,398.00,202,, 可拆卸式电池, 无, 2500mAh,, 12键标准键盘, 1CM以上,, 无摄像头, 4k,, 128MB, 32MB, 2.4英寸, 非触摸屏, 320x240,（483人气）,
 EPHONE/易丰, E81, 粉色 黑色 蓝色 紫色, 无操作系统,399.00,184,, 老人手机, 可拆卸式电池, 无, 2500mAh, 翻盖, 12键标准键盘, 1CM以上, 30万, 单摄像头, 240p, 128MB, 32MB, 2.4英寸, 非触摸屏, 320x240,（292人气）,
 贝尔丰, BF158&nbsp;宝马, 红色 玫红 金色 黑色, 无操作系统,359.00,102,, 儿童手机 商务手机 女性手机 老人手机, 可拆卸式电池, 无, 3200mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 360P以下, 8MB, 8MB, 其他, 非触摸屏, 128x160,（349人气）,
 F－FOOK/福中福, F555+, 金色 粉色 白色 黑色 紫色, 无操作系统,300.00,153,, 拍照手机 时尚手机 老人手机, 可拆卸式电池, 无, 1200mAh, 直板, 12键标准键盘, 1CM以上, 130万, 单摄像头, 360P(逐行标清), 无, 无, 3.0英寸, 非触摸屏, 480X320,（407人气）,
 贝尔丰, BF&nbsp;V5T, 金色 枪色 白色, 阿里巴巴YunOS,599.00,314,, 音乐手机 时尚手机 智能手机 3G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 四核, 2100mAh, 直板, 虚拟触屏键盘, 8.9mm, 500万, 双摄像头（前后）, 480P(逐行标清D2), 8GB, 1GB, 5.0英寸, 电容式, 854x480,（522人气）,
 K-Touch/天语, W98, 白色 深海蓝, Android/安卓,800.00,25,, 智能手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.5英寸, 电容式, 854x480,（171人气）,
 K-Touch/天语, E80, 冰雪白 钢琴黑, Android/安卓,510.00,25,, 拍照手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 1GB, 5.0英寸, 电容式, 960x540,（46人气）,
 K-Touch/天语, L820, 莹白色 黑色, Android/安卓,500.00,40,, 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 200万, 单摄像头, 4GB, 1GB, 4.0英寸, 电容式, 800x480,（240人气）,
 F－FOOK/福中福, F669, 红色 黑色 黄色 蓝色, 无操作系统,279.00,420,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 360P(逐行标清), 无, 无, 1.8英寸, 非触摸屏, 128x160,（817人气）,
 Fadar/锋达通, C15, 黑色 白色 红色 金色, 无操作系统,479.00,31,, 老人手机, 可拆卸式电池, 无, 4000mAh, 直板, 12键标准键盘, 1CM以上, 8万, 单摄像头, 不支持, 16MB, 4MB, 2.4英寸, 非触摸屏, 320x240,（474人气）,
 BIRD/波导, bird-s169, 黑色 红色, 无操作系统,400.00,142,, 老人手机, 可拆卸式电池, 无, 2000mAh, 直板, 12键标准键盘, 1CM以上, 130万, 单摄像头, 480P(逐行标清D2), 32MB, 32MB, 2.3英寸, 非触摸屏, 320x240,（1064人气）,
 贝尔丰, 黑色 绿色, 无操作系统, 户外手机&nbsp;备用手机 三防手机 商务手机 老人手机,399.00,81,, 可拆卸式电池, 无, 8800mAh,, 12键标准键盘, 1CM以上,, 单摄像头, 360P(逐行标清),, 8MB, 16MB, 2.4英寸, 非触摸屏, 320x240,（115人气）,
 Daxian/大显, GS5000, 红色 黑色, 无操作系统,199.00,71,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 支持3GP等视频格式, 无, 无, 1.77英寸, 非触摸屏, 160X128,（3426人气）,
 贝尔丰, BF&nbsp;A700&nbsp;水晶, 红色 粉色 白色 蓝色, 无操作系统,459.00,105,, 音乐手机 儿童手机 女性手机 老人手机, 可拆卸式电池, 无, 1600mAh, 翻盖, 12键标准键盘, 1CM以上, 30万, 单摄像头, 3GP, 4MB, 无, 2.4英寸, 电阻式触摸屏, 240x320,（348人气）,
 ZTE/中兴, S251, 银灰, Android/安卓,499.00,21,, 拍照手机 时尚手机 智能手机 3G手机, 不可拆卸式电池, 四核心, 2.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（27人气）,
